,Pais,Total de casos,Casos nuevos,Total de muertes,Muertes nuevas,Recuperados,Casos activos,Casos criticos
0, USA,31869980.0,0.0,575593.0,0.0,24423589.0,6870798.0,9218.0
1, Brasil,13445006.0,0.0,351469.0,0.0,11838564.0,1254973.0,8318.0
2, India,13358805.0,3340.0,169305.0,0.0,12081443.0,1108057.0,8944.0
3, Francia,5023785.0,0.0,98602.0,0.0,303639.0,4621544.0,5729.0
4, Rusia,4632688.0,0.0,102649.0,0.0,4258279.0,271760.0,2300.0
5, UK,4368045.0,0.0,127080.0,0.0,3961738.0,279227.0,406.0
6, Turquía,3798333.0,0.0,33702.0,0.0,3301217.0,463414.0,2739.0
7, Italia,3754077.0,0.0,113923.0,0.0,3107069.0,533085.0,3588.0
8, España,3347512.0,0.0,76328.0,0.0,3095922.0,175262.0,2050.0
9, Alemania,2992803.0,0.0,78858.0,0.0,2671200.0,242745.0,4515.0
10, Polonia,2552898.0,0.0,58176.0,0.0,2143065.0,351657.0,3373.0
11, Colombia,2518715.0,0.0,65608.0,0.0,2375176.0,77931.0,2603.0
12, Argentina,2517300.0,0.0,57647.0,0.0,2217783.0,241870.0,3761.0
13, México,2278420.0,6356.0,207020.0,0.0,1807676.0,263724.0,4798.0
14, Irán,2049078.0,0.0,64232.0,0.0,1702062.0,282784.0,4329.0
15, Ucrania,1853249.0,12112.0,37014.0,235.0,1410860.0,405375.0,177.0
16, Perú,1639767.0,0.0,54669.0,0.0,1557779.0,27319.0,2321.0
17, República Checa,1580189.0,2198.0,27808.0,37.0,1449052.0,103329.0,1220.0
18, Indonesia,1562868.0,0.0,42443.0,0.0,1409288.0,111137.0,0.0
19, Sudáfrica,1557527.0,0.0,53256.0,0.0,1482682.0,21589.0,546.0
20, Países Bajos,1342447.0,0.0,16754.0,0.0,0.0,1325693.0,777.0
21, Chile,1068522.0,0.0,24213.0,0.0,998400.0,45909.0,3139.0
22, Canadá,1052539.0,0.0,23287.0,0.0,958633.0,70619.0,928.0
23, Rumanía,1002865.0,0.0,25006.0,0.0,902239.0,75620.0,1492.0
24, Bélgica,922487.0,4570.0,23428.0,38.0,59432.0,839627.0,925.0
25, Iraq,918155.0,0.0,14678.0,0.0,809663.0,93814.0,453.0
26, Suecia,857401.0,0.0,13621.0,0.0,0.0,843780.0,377.0
27, Filipinas,853209.0,0.0,14744.0,0.0,648220.0,190245.0,762.0
28, Israel,835871.0,60.0,6294.0,2.0,825687.0,3890.0,263.0
29, Portugal,826928.0,0.0,16910.0,0.0,784208.0,25810.0,119.0
30, Paquistán,721018.0,5050.0,15443.0,114.0,631700.0,73875.0,4143.0
31, Hungría,720164.0,6296.0,23417.0,206.0,426394.0,270353.0,1290.0
32, Bangladesh,678937.0,0.0,9661.0,0.0,572378.0,96898.0,0.0
33, Jordania,662395.0,0.0,7708.0,0.0,588353.0,66334.0,729.0
34, Serbia,639476.0,0.0,5700.0,0.0,550238.0,83538.0,260.0
35, Suiza,617543.0,0.0,10452.0,0.0,557566.0,49525.0,189.0
36, Austria,574755.0,0.0,9662.0,0.0,532539.0,32554.0,586.0
37, Marruecos,501688.0,0.0,8891.0,0.0,488015.0,4782.0,242.0
38, Japón,499793.0,0.0,9353.0,0.0,460993.0,29447.0,511.0
39, Líbano,494633.0,0.0,6630.0,0.0,402172.0,85831.0,864.0
40, EAU,481937.0,0.0,1529.0,0.0,466804.0,13604.0,0.0
41, Arabia Saudita,397636.0,0.0,6747.0,0.0,382773.0,8116.0,914.0
42, Bulgaria,371531.0,0.0,14351.0,0.0,285799.0,71381.0,801.0
43, Eslovaquia,370473.0,0.0,10487.0,0.0,255300.0,104686.0,515.0
44, Malasia,359117.0,0.0,1321.0,0.0,342737.0,15059.0,194.0
45, Panamá,358377.0,0.0,6159.0,0.0,347898.0,4320.0,105.0
46, Ecuador,344877.0,0.0,17275.0,0.0,290314.0,37288.0,593.0
47, Belarus,334863.0,0.0,2344.0,0.0,325108.0,7411.0,0.0
48, Grecia,293763.0,0.0,8833.0,0.0,246997.0,37933.0,781.0
49, Croacia,290899.0,0.0,6269.0,0.0,270964.0,13666.0,180.0
50, Georgia,288396.0,707.0,3877.0,8.0,277303.0,7216.0,0.0
51, Azerbaijan,283579.0,0.0,3879.0,0.0,249013.0,30687.0,0.0
52, Bolivia,281570.0,921.0,12442.0,14.0,230807.0,38321.0,71.0
53, Nepal,279725.0,0.0,3039.0,0.0,273886.0,2800.0,0.0
54, Túnez,270297.0,0.0,9235.0,0.0,224397.0,36665.0,407.0
55, Kazajistán,269519.0,2842.0,3221.0,19.0,234057.0,32241.0,221.0
56, Palestina,265897.0,0.0,2838.0,0.0,231288.0,31771.0,190.0
57, República Dominicana,257186.0,0.0,3385.0,0.0,216020.0,37781.0,154.0
58, Kuwait,245704.0,0.0,1403.0,0.0,229846.0,14455.0,226.0
59, Moldavia,240886.0,0.0,5369.0,0.0,221968.0,13549.0,312.0
60, Irlanda,240643.0,0.0,4783.0,0.0,23364.0,212496.0,52.0
61, Dinamarca,237101.0,0.0,2439.0,0.0,225968.0,8694.0,37.0
62, Paraguay,233745.0,0.0,4749.0,0.0,191614.0,37382.0,444.0
63, Etiopía,227255.0,0.0,3146.0,0.0,169038.0,55071.0,933.0
64, Lituania,226173.0,839.0,3687.0,12.0,205897.0,16589.0,150.0
65, Eslovenia,225950.0,0.0,4112.0,0.0,207927.0,13911.0,140.0
66, Costa Rica,222544.0,0.0,3018.0,0.0,194760.0,24766.0,199.0
67, Egipto,209677.0,0.0,12405.0,0.0,159054.0,38218.0,90.0
68, Armenia,202817.0,650.0,3735.0,15.0,181963.0,17119.0,0.0
69, Guatemala,202640.0,0.0,7001.0,0.0,184758.0,10881.0,5.0
70, Honduras,195525.0,977.0,4770.0,4.0,75553.0,115202.0,526.0
71, Qatar,189064.0,0.0,331.0,0.0,169086.0,19647.0,452.0
72, Bosnia,181927.0,0.0,7298.0,0.0,139419.0,35210.0,0.0
73, Venezuela,173786.0,0.0,1759.0,0.0,156472.0,15555.0,237.0
74, Omán,168005.0,0.0,1747.0,0.0,149969.0,16289.0,204.0
75, Libya,166888.0,0.0,2807.0,0.0,152328.0,11753.0,0.0
76, Nigeria,163736.0,0.0,2060.0,0.0,154098.0,7578.0,11.0
77, Bahrain,155402.0,0.0,554.0,0.0,143889.0,10959.0,86.0
78, Kenia,145184.0,0.0,2330.0,0.0,98605.0,44249.0,247.0
79, Birmania,142572.0,0.0,3206.0,0.0,131846.0,7520.0,0.0
80, Uruguay,141380.0,0.0,1414.0,0.0,104434.0,35532.0,471.0
81, Macedonia,141157.0,0.0,4182.0,0.0,115433.0,21542.0,124.0
82, Albania,128155.0,0.0,2310.0,0.0,97206.0,28639.0,18.0
83, Algeria,118378.0,0.0,3126.0,0.0,82493.0,32759.0,19.0
84, Estonia,113736.0,0.0,1020.0,0.0,94206.0,18510.0,72.0
85, South Korea,109559.0,614.0,1768.0,3.0,100109.0,7682.0,105.0
86, Letonia,107240.0,0.0,1986.0,0.0,98247.0,7007.0,94.0
87, Noruega,103200.0,0.0,684.0,0.0,88952.0,13564.0,57.0
88, Sri Lanka,94848.0,0.0,595.0,0.0,91456.0,2797.0,0.0
89, Montenegro,94035.0,0.0,1365.0,0.0,88144.0,4526.0,69.0
90, Ghana,91260.0,0.0,754.0,0.0,89092.0,1414.0,10.0
91, China,90410.0,10.0,4636.0,0.0,85488.0,286.0,4.0
92, Kirguistán,90019.0,0.0,1519.0,0.0,85824.0,2676.0,24.0
93, Zambia,89918.0,0.0,1226.0,0.0,86813.0,1879.0,56.0
94, Cuba,85572.0,0.0,453.0,0.0,79958.0,5161.0,66.0
95, Uzbekistán,84922.0,198.0,634.0,0.0,82760.0,1528.0,23.0
96, Finlandia,81707.0,0.0,868.0,0.0,46000.0,34839.0,41.0
97, Mozambique,68578.0,0.0,789.0,0.0,58383.0,9406.0,68.0
98, El Salvador,65491.0,0.0,2051.0,3.0,62340.0,1100.0,30.0
99, Luxemburgo,63650.0,0.0,768.0,0.0,58874.0,4008.0,30.0
100, Camerún,61731.0,0.0,919.0,0.0,56926.0,3886.0,385.0
101, Singapur,60633.0,0.0,30.0,0.0,60322.0,281.0,1.0
102, Afganistán,57242.0,82.0,2529.0,8.0,51989.0,2724.0,1120.0
103, Chipre,51035.0,0.0,272.0,0.0,39061.0,11702.0,52.0
104, Namibia,45323.0,0.0,564.0,0.0,43555.0,1204.0,20.0
105, Costa de Marfil,45089.0,0.0,260.0,0.0,44197.0,632.0,0.0
106, Botswana,42674.0,0.0,636.0,0.0,38203.0,3835.0,1.0
107, Jamaica,42119.0,0.0,669.0,0.0,18785.0,22665.0,44.0
108, Uganda,41113.0,0.0,337.0,0.0,40685.0,91.0,0.0
109, Senegal,39364.0,0.0,1077.0,0.0,38101.0,186.0,18.0
110, Zimbabue,37273.0,0.0,1538.0,0.0,34862.0,873.0,3.0
111, Malawi,33805.0,0.0,1127.0,0.0,31360.0,1318.0,23.0
112, Tailandia,32625.0,967.0,97.0,0.0,28214.0,4314.0,1.0
113, Sudán,30111.0,0.0,2063.0,0.0,24214.0,3834.0,0.0
114, Malta,29548.0,0.0,402.0,0.0,28610.0,536.0,0.0
115, Australia,29402.0,6.0,909.0,0.0,26356.0,2137.0,0.0
116, DRC,28542.0,0.0,745.0,0.0,25841.0,1956.0,0.0
117, Madagascar,27548.0,0.0,493.0,0.0,23481.0,3574.0,246.0
118, Maldivas,25524.0,0.0,67.0,0.0,22429.0,3028.0,82.0
119, Ruanda,23343.0,0.0,314.0,0.0,21072.0,1957.0,6.0
120, Angola,23331.0,0.0,550.0,0.0,21890.0,891.0,13.0
121, Guinea,20807.0,0.0,133.0,0.0,18473.0,2201.0,24.0
122, Gabón,20636.0,0.0,127.0,0.0,17456.0,3053.0,20.0
123, Siria,20118.0,0.0,1368.0,0.0,13895.0,4855.0,0.0
124, Mayotte,19643.0,0.0,167.0,0.0,2964.0,16512.0,7.0
125, Polinesia Francesa,18652.0,0.0,141.0,0.0,4842.0,13669.0,2.0
126, Cabo Verde,18629.0,0.0,177.0,0.0,17077.0,1375.0,23.0
127, Mauritania,18012.0,0.0,450.0,0.0,17322.0,240.0,14.0
128, Guyana  Francesa,17549.0,0.0,94.0,0.0,9995.0,7460.0,9.0
129, Reunión,17508.0,0.0,123.0,0.0,16011.0,1374.0,54.0
130, Suazilandia,17373.0,0.0,669.0,0.0,16645.0,59.0,3.0
131, Mongolia,15014.0,831.0,22.0,2.0,9159.0,5833.0,88.0
132, Tajikistan,13308.0,0.0,90.0,0.0,13218.0,0.0,0.0
133, Burkina Faso,12956.0,0.0,152.0,0.0,12593.0,211.0,0.0
134, Haiti,12840.0,0.0,251.0,0.0,11447.0,1142.0,0.0
135, Andorra,12497.0,0.0,120.0,0.0,11770.0,607.0,12.0
136, Belice,12485.0,0.0,318.0,0.0,12106.0,61.0,1.0
137, Somalia,12271.0,0.0,605.0,0.0,5129.0,6537.0,0.0
138, Guadalupe,12140.0,0.0,174.0,0.0,2242.0,9724.0,13.0
139, Togo,11947.0,0.0,116.0,0.0,9190.0,2641.0,0.0
140, Mali,11705.0,0.0,405.0,0.0,7101.0,4199.0,0.0
141, Hong Kong,11569.0,0.0,207.0,0.0,11193.0,169.0,7.0
142, Curaçao,11180.0,0.0,63.0,0.0,6405.0,4712.0,22.0
143, Guyana,11044.0,0.0,252.0,0.0,9688.0,1104.0,14.0
144, Lesotho,10707.0,0.0,315.0,0.0,4471.0,5921.0,0.0
145, Sudán del Sur,10359.0,0.0,114.0,0.0,10090.0,155.0,0.0
146, Congo,10084.0,0.0,137.0,0.0,8208.0,1739.0,0.0
147, Aruba,10016.0,0.0,92.0,0.0,9351.0,573.0,14.0
148, Yibuti,9722.0,0.0,94.0,0.0,7763.0,1865.0,0.0
149, Bahamas,9364.0,0.0,189.0,0.0,8837.0,338.0,4.0
150, Surinán,9278.0,0.0,179.0,0.0,8654.0,445.0,9.0
151, Martinica,9028.0,0.0,57.0,0.0,98.0,8873.0,5.0
152, Trinidad y Tobago,8382.0,0.0,145.0,0.0,7723.0,514.0,14.0
153, Papua Nueva Guinea,8342.0,0.0,68.0,0.0,846.0,7428.0,0.0
154, Benin,7515.0,0.0,93.0,0.0,6452.0,970.0,35.0
155, Guinea Ecuatorial,7219.0,0.0,106.0,0.0,6799.0,314.0,11.0
156, Nicaragua,6727.0,0.0,179.0,0.0,4225.0,2323.0,0.0
157, Islandia,6258.0,0.0,29.0,0.0,6126.0,103.0,0.0
158, Gambia,5602.0,0.0,168.0,0.0,5145.0,289.0,3.0
159, República Centroaficana,5491.0,0.0,74.0,0.0,5056.0,361.0,2.0
160, Yemén,5276.0,0.0,1031.0,0.0,2027.0,2218.0,23.0
161, Níger,5072.0,0.0,188.0,0.0,4747.0,137.0,1.0
162, San Marino,4956.0,0.0,85.0,0.0,4477.0,394.0,10.0
163, Chad,4625.0,0.0,167.0,0.0,4286.0,172.0,0.0
164, Seychelles,4395.0,0.0,24.0,0.0,4091.0,280.0,0.0
165, Santa Lucía,4347.0,0.0,64.0,0.0,4160.0,123.0,3.0
166, Gibraltar,4277.0,0.0,94.0,0.0,4180.0,3.0,0.0
167, Camboya,4238.0,157.0,29.0,3.0,2152.0,2057.0,0.0
168, Islas del Canal,4051.0,0.0,86.0,0.0,3956.0,9.0,1.0
169, Sierra Leona,3995.0,0.0,79.0,0.0,2828.0,1088.0,0.0
170, Comoros,3789.0,0.0,146.0,0.0,3577.0,66.0,0.0
171, Barbados,3719.0,0.0,44.0,0.0,3587.0,88.0,0.0
172, Guinea-Bissau,3678.0,0.0,66.0,0.0,3059.0,553.0,9.0
173, Eritrea,3447.0,0.0,10.0,0.0,3166.0,271.0,0.0
174, Burundi,3119.0,0.0,6.0,0.0,773.0,2340.0,0.0
175, Liechtenstein,2738.0,0.0,56.0,0.0,2606.0,76.0,4.0
176, Vietnam,2692.0,0.0,35.0,0.0,2429.0,228.0,0.0
177, Nueva Zelanda,2574.0,3.0,26.0,0.0,2440.0,108.0,0.0
178, Mónaco,2374.0,0.0,31.0,0.0,2230.0,113.0,6.0
179, Islas Turcas y Caicos,2357.0,0.0,17.0,0.0,2280.0,60.0,2.0
180, Santo Tomé y Príncipe,2263.0,0.0,35.0,0.0,2179.0,49.0,0.0
181, Sint Maarten,2185.0,0.0,27.0,0.0,2118.0,40.0,1.0
182, Liberia,2042.0,0.0,85.0,0.0,1899.0,58.0,2.0
183, San Vicente y las Granadinas,1790.0,0.0,10.0,0.0,1651.0,129.0,2.0
184, Bermuda,1773.0,0.0,14.0,0.0,888.0,871.0,28.0
185, San Martín,1693.0,0.0,12.0,0.0,1399.0,282.0,7.0
186, Isla de Man,1574.0,0.0,29.0,0.0,1445.0,100.0,0.0
187, Caribe Neerlandés,1516.0,0.0,14.0,0.0,1365.0,137.0,0.0
188, Antigua y Barbuda,1197.0,0.0,30.0,0.0,936.0,231.0,45.0
189, Mauricio,1190.0,0.0,12.0,0.0,750.0,428.0,0.0
190, Taiwán,1056.0,0.0,10.0,0.0,1020.0,26.0,0.0
191, Timor Oriental,947.0,0.0,1.0,0.0,443.0,503.0,0.0
192, Bután,910.0,0.0,1.0,0.0,875.0,34.0,0.0
193, San Bartolomé,907.0,0.0,1.0,0.0,462.0,444.0,0.0
194, Diamond Princess,712.0,0.0,13.0,0.0,699.0,0.0,0.0
195, Islas Faroe,661.0,0.0,1.0,0.0,660.0,0.0,0.0
196, Islas Cayman,516.0,0.0,2.0,0.0,487.0,27.0,0.0
197, Tanzania,509.0,0.0,21.0,0.0,183.0,305.0,7.0
198, Wallis and Futuna,432.0,0.0,5.0,0.0,44.0,383.0,3.0
199, Brunei,219.0,0.0,3.0,0.0,206.0,10.0,0.0
200, Islas Vírgenes Británicas,178.0,0.0,1.0,0.0,159.0,18.0,0.0
201, Dominica,165.0,0.0,0.0,0.0,159.0,6.0,0.0
202, Granada,155.0,0.0,1.0,0.0,152.0,2.0,0.0
203, Nueva Caledonia,121.0,0.0,0.0,0.0,58.0,63.0,0.0
204, Fiji,68.0,0.0,2.0,0.0,64.0,2.0,0.0
205, Malvinas,60.0,0.0,0.0,0.0,54.0,6.0,0.0
206, Laos,49.0,0.0,0.0,0.0,47.0,2.0,0.0
207, Macao,49.0,0.0,0.0,0.0,48.0,1.0,0.0
208, San Cristóbal y Nieves,44.0,0.0,0.0,0.0,44.0,0.0,0.0
209, Groenlandia,31.0,0.0,0.0,0.0,31.0,0.0,0.0
210, Vaticano,27.0,0.0,0.0,0.0,15.0,12.0,0.0
211, Anguilla,25.0,0.0,0.0,0.0,22.0,3.0,0.0
212, San Pedro y Miquelón,24.0,0.0,0.0,0.0,24.0,0.0,0.0
213, Montserrat,20.0,0.0,1.0,0.0,19.0,0.0,0.0
214, Solomon Islands,19.0,0.0,0.0,0.0,18.0,1.0,0.0
215, Sahara Occidental,10.0,0.0,1.0,0.0,8.0,1.0,0.0
216, MS Zaandam,9.0,0.0,2.0,0.0,7.0,0.0,0.0
217, Marshall Islands,4.0,0.0,0.0,0.0,4.0,0.0,0.0
218, Samoa,3.0,0.0,0.0,0.0,2.0,1.0,0.0
219, Vanuatu,3.0,0.0,0.0,0.0,1.0,2.0,0.0
220, Micronesia,1.0,0.0,0.0,0.0,1.0,0.0,0.0
